source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001446_features,0.6820007,0.31799924,24.690805435180664,741.6199,637.1092
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000144_features,0.7350477,0.2649523,19.93988609313965,616.70667,538.03284
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001450_features,0.6788492,0.32115072,23.19999122619629,717.24927,568.53064
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001453_features,0.72252065,0.2774793,21.72559356689453,677.75134,613.3158
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000145_features,0.7377589,0.26224118,20.351734161376953,628.58527,580.59863
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001461_features,0.6369176,0.3630824,23.29395866394043,697.0909,467.8882
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001464_features,0.59239876,0.4076013,26.467403411865234,765.3719,507.91336
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001465_features,0.70195645,0.29804355,21.087936401367188,643.77136,511.29364
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001467_features,0.68320423,0.3167959,22.83916473388672,690.89124,562.4677
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000146_features,0.7201752,0.27982473,21.051729202270508,659.0088,568.72424
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001474_features,0.6875895,0.31241053,22.876983642578125,694.2842,575.598
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001475_features,0.6223179,0.3776821,25.848623275756836,785.91614,547.11383
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_000001478_features,0.66302073,0.3369792,23.57847785949707,720.1648,546.9073
DJI_20240313112706_0003_V_frame93010_features,individual,0000226_03899_d_00000147_features,0.77869254,0.22130746,18.662635803222656,587.9879,609.5748
