source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,individual,0000204_00000_d_0000191_features,0.66968155,0.3303185,27.47976303100586,876.3136,759.81384
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001922_features,0.6341723,0.36582762,27.035659790039062,850.1291,529.965
0000007_04999_d_00000365_features,individual,0000204_00332_d_000019239_features,0.6491831,0.3508169,27.729351043701172,880.9243,695.1959
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001923_features,0.68182194,0.31817806,25.79900550842285,808.0548,655.8182
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001924_features,0.7200983,0.2799018,24.680376052856445,792.7871,752.0018
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001925_features,0.6638899,0.33611012,28.088520050048828,861.93787,777.47485
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001927_features,0.7014002,0.29859978,24.866817474365234,779.5354,604.6379
0000007_04999_d_00000365_features,individual,0000204_00332_d_00001929_features,0.6107165,0.38928348,30.197084426879883,897.0839,713.77325
0000007_04999_d_00000365_features,individual,0000204_00332_d_0000192_features,0.6184919,0.38150793,28.54551124572754,901.00433,637.3124
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019710_features,0.7409947,0.2590053,23.81916618347168,760.58386,779.6033
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019711_features,0.6085409,0.3914591,29.430665969848633,913.1454,662.8032
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019712_features,0.6861371,0.31386292,25.642362594604492,803.06323,660.76575
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019713_features,0.68643534,0.31356466,27.04298210144043,839.80304,797.7783
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019714_features,0.70142007,0.29857987,26.024658203125,824.3198,786.75165
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019717_features,0.7050382,0.2949618,24.84276580810547,770.16394,660.45215
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019718_features,0.6577101,0.34228998,27.14350128173828,834.92944,682.4298
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019727_features,0.6904614,0.30953854,25.710609436035156,817.62115,698.714
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001972_features,0.6262985,0.37370145,27.65192413330078,888.08386,586.573
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019736_features,0.7453393,0.2546608,23.634368896484375,754.5056,785.33435
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019738_features,0.6793325,0.32066756,25.807762145996094,800.1472,639.0212
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001973_features,0.71035427,0.28964567,24.76302146911621,798.94806,693.6196
0000007_04999_d_00000365_features,individual,0000205_00405_d_000019740_features,0.5642986,0.4357015,29.601404190063477,931.1023,522.1481
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001975_features,0.7234341,0.2765658,25.187345504760742,800.38495,822.9363
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001976_features,0.6323516,0.36764848,28.313772201538086,903.68884,672.9138
0000007_04999_d_00000365_features,individual,0000205_00405_d_00001978_features,0.67337394,0.32662594,26.546398162841797,845.6932,699.5199
0000007_04999_d_00000365_features,individual,0000205_00405_d_0000197_features,0.6714947,0.3285051,26.21004867553711,852.18713,650.0657
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020110_features,0.6463498,0.35365015,28.4390869140625,908.495,734.1328
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020111_features,0.63556457,0.36443526,28.344552993774414,901.15564,687.42114
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020112_features,0.698794,0.3012061,25.490367889404297,799.7654,721.00726
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020113_features,0.7065959,0.29340392,25.21331214904785,801.974,734.08887
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020114_features,0.699131,0.3008691,24.989521026611328,808.1515,631.9198
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020115_features,0.6621375,0.33786243,26.856887817382812,844.3412,675.6681
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020117_features,0.6805338,0.31946623,26.566761016845703,836.3174,735.495
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020118_features,0.7188494,0.28115064,25.699716567993164,800.8179,842.1847
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020119_features,0.6259718,0.3740282,28.16252326965332,866.0923,635.8287
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020120_features,0.65448153,0.3455184,26.49893569946289,819.69934,579.3894
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020121_features,0.66317844,0.33682144,26.42539405822754,836.1893,629.3074
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020123_features,0.62273693,0.377263,28.26363182067871,874.1804,631.26465
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020124_features,0.5974805,0.40251946,29.183340072631836,902.02686,607.71814
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020126_features,0.7279331,0.27206683,23.92251968383789,761.92065,654.4612
0000007_04999_d_00000365_features,individual,0000205_02019_d_000020127_features,0.73549545,0.2645046,24.390640258789062,770.7904,812.79584
