source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
0000007_04999_d_00000365_features,individual,0000363_01177_d_0000789_features,0.6916303,0.30836976,25.655567169189453,788.9458,698.7497
0000007_04999_d_00000365_features,individual,0000363_02745_d_00007969_features,0.74930143,0.25069863,23.102928161621094,726.55475,686.73193
0000007_04999_d_00000365_features,individual,9999937_00000_d_0000027_features,0.7774546,0.22254544,22.52324104309082,701.1711,873.59784
0000007_04999_d_00000365_features,individual,9999937_00000_d_000002913_features,0.5576699,0.44233006,30.084550857543945,923.39966,537.1871
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000305_features,0.80986,0.19013989,20.48919677734375,658.94354,826.37177
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000313_features,0.735698,0.26430202,23.724102020263672,763.3338,713.2853
0000007_04999_d_00000365_features,individual,9999937_00000_d_0000031_features,0.7850362,0.21496373,21.619394302368164,689.03235,767.34216
0000007_04999_d_00000365_features,individual,9999937_00000_d_000007613_features,0.80035716,0.19964278,20.915000915527344,664.25226,779.5585
0000007_04999_d_00000365_features,individual,9999937_00000_d_000007614_features,0.7786583,0.22134173,21.920230865478516,675.9212,706.2224
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000769_features,0.7565999,0.24340016,23.087358474731445,740.7733,790.6522
0000007_04999_d_00000365_features,individual,9999937_00000_d_000007717_features,0.77737534,0.2226249,21.944873809814453,692.06195,738.3106
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000774_features,0.76290727,0.23709261,23.071054458618164,713.1447,837.6045
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000912_features,0.8221094,0.17789054,20.050559997558594,643.97327,901.302
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000956_features,0.74820346,0.25179654,23.154489517211914,739.4281,697.8426
0000007_04999_d_00000365_features,individual,9999937_00000_d_00000958_features,0.6875005,0.31249934,26.05609893798828,823.4658,721.3767
0000007_04999_d_00000365_features,individual,9999937_00000_d_000009611_features,0.6866224,0.31337768,26.225709915161133,810.0676,733.6045
0000007_04999_d_00000365_features,individual,9999937_00000_d_000009620_features,0.72037894,0.27962095,25.71196937561035,808.26514,850.15247
0000007_04999_d_00000365_features,individual,9999937_00000_d_000009653_features,0.7194017,0.28059834,24.233671188354492,775.9227,622.0093
0000007_04999_d_00000365_features,individual,9999937_00000_d_000010813_features,0.7709994,0.22900069,22.403499603271484,685.7654,801.11035
0000007_04999_d_00000365_features,individual,9999937_00000_d_00001085_features,0.8231019,0.176898,20.201427459716797,653.1577,937.95123
0000007_04999_d_00000365_features,individual,9999937_00000_d_000011513_features,0.7515892,0.24841082,23.65949249267578,730.4245,831.63153
0000007_04999_d_00000365_features,individual,9999937_00000_d_000014011_features,0.7414218,0.25857842,23.5,731.3788,722.1837
